Fire Incident Alarm DateTime,Fire Incident Apparatus Dispatch Time,Fire Incident Apparatus Enroute Time,Fire Incident Arrival DateTime,Fire Incident Apparatus Clear Time,Fire Incident Incident Type
01/01/2016 00:03:18,01/01/2016 00:03:55,01/01/2016 00:05:09,01/01/2016 00:08:38,01/01/2016 00:47:41,"EMS call, excluding vehicle acci"
01/01/2016 00:21:31,01/01/2016 00:22:06,01/01/2016 00:23:30,01/01/2016 00:26:01,01/01/2016 01:16:02,Motor vehicle accident with no i
01/01/2016 01:31:39,01/01/2016 01:32:53,01/01/2016 01:33:57,01/01/2016 01:37:27,01/01/2016 02:11:21,"EMS call, excluding vehicle acci"
01/01/2016 02:06:11,01/01/2016 02:07:53,01/01/2016 02:09:06,01/01/2016 02:13:10,01/01/2016 02:24:06,"Medical assist, assist EMS crew"
01/01/2016 02:09:42,01/01/2016 02:10:26,01/01/2016 02:11:41,01/01/2016 02:16:20,01/01/2016 03:03:58,Electrical  wiring/equipment pro
01/01/2016 02:09:42,01/01/2016 02:10:26,01/01/2016 02:11:53,01/01/2016 02:16:20,01/01/2016 03:09:12,Electrical  wiring/equipment pro
01/01/2016 02:09:42,01/01/2016 02:10:26,01/01/2016 02:11:46,01/01/2016 02:16:20,01/01/2016 03:24:17,Electrical  wiring/equipment pro
01/01/2016 02:09:42,01/01/2016 02:10:26,01/01/2016 02:11:25,01/01/2016 02:16:20,01/01/2016 03:09:31,Electrical  wiring/equipment pro
01/01/2016 02:09:42,01/01/2016 02:10:26,01/01/2016 02:11:47,01/01/2016 02:16:20,01/01/2016 02:53:03,Electrical  wiring/equipment pro
01/01/2016 02:09:42,01/01/2016 02:10:26,01/01/2016 02:11:56,01/01/2016 02:16:20,01/01/2016 02:53:25,Electrical  wiring/equipment pro
01/01/2016 02:19:13,01/01/2016 02:20:18,01/01/2016 02:21:07,01/01/2016 02:28:54,01/01/2016 02:30:29,EMS Cancelled on Arrival
01/01/2016 02:43:33,01/01/2016 02:44:08,01/01/2016 02:45:01,01/01/2016 02:53:12,01/01/2016 02:57:48,"Medical assist, assist EMS crew"
01/01/2016 02:51:07,01/01/2016 02:52:15,01/01/2016 02:53:13,,01/01/2016 02:55:16,Emergency Medical cancelled en r
01/01/2016 04:06:16,01/01/2016 04:07:23,01/01/2016 04:08:42,01/01/2016 04:11:59,01/01/2016 04:46:39,"EMS call, excluding vehicle acci"
01/01/2016 04:55:09,01/01/2016 04:55:34,01/01/2016 04:57:15,,01/01/2016 05:01:46,Dispatched & canceled en route
01/01/2016 08:51:15,01/01/2016 08:52:32,01/01/2016 08:53:30,,01/01/2016 08:59:32,Emergency Medical cancelled en r
01/01/2016 08:51:45,01/01/2016 08:53:36,01/01/2016 08:54:16,01/01/2016 08:57:27,01/01/2016 09:11:51,"EMS call, excluding vehicle acci"
01/01/2016 08:54:08,01/01/2016 08:55:12,01/01/2016 08:56:02,01/01/2016 09:00:24,01/01/2016 09:02:12,"Smoke detector activation, no fi"
01/01/2016 08:54:08,01/01/2016 08:55:12,01/01/2016 08:55:41,01/01/2016 09:00:24,01/01/2016 09:07:55,"Smoke detector activation, no fi"
01/01/2016 08:54:08,01/01/2016 08:55:12,01/01/2016 08:56:06,01/01/2016 09:00:24,01/01/2016 09:02:08,"Smoke detector activation, no fi"
01/01/2016 08:54:08,01/01/2016 08:55:12,01/01/2016 08:56:14,01/01/2016 09:00:24,01/01/2016 09:02:20,"Smoke detector activation, no fi"
